Customer_Type,Type_of_Travel,Class,Departure_Delay,Arrival_Delay,Ease_of_Online_Booking,On_board_Service,Seat_Comfort,Cleanliness,Food_and_Drink,In_flight_Service,In_flight_Wifi_Service,In_flight_Entertainment,Baggage_Handling,Satisfaction
0,0,0,2.0,5.0,3,3,5,5,5,5.0,3,5,5.0,0
1,0,0,26.0,39.0,2,5,4,5,3,5.0,2,5,5.0,1
1,0,0,0.0,0.0,4,3,5,5,5,3.0,4,3,3.0,1
1,0,0,0.0,0.0,2,5,5,4,4,5.0,2,5,5.0,1
1,0,0,0.0,1.0,3,3,4,5,4,3.0,3,3,3.0,1
1,0,0,0.0,0.0,4,4,4,3,3,4.0,4,4,4.0,1
1,0,0,0.0,0.0,3,5,5,4,5,5.0,3,5,5.0,1
1,0,0,0.0,3.0,4,3,4,4,4,3.0,4,3,3.0,1
1,0,0,0.0,0.0,1,4,3,3,3,4.0,4,4,4.0,0
1,0,0,13.0,0.0,5,5,4,4,2,5.0,2,5,5.0,1
0,0,0,0.0,5.0,1,2,2,2,2,4.0,1,2,3.0,0
0,0,0,20.0,21.0,2,2,2,1,1,3.0,1,1,4.0,0
0,0,1,16.0,30.0,2,2,5,5,5,4.0,2,5,4.0,0
1,1,0,68.0,76.0,1,4,5,5,5,5.0,1,5,4.0,0
1,1,1,0.0,0.0,2,3,2,2,2,5.0,2,2,5.0,0
1,1,1,0.0,0.0,2,4,5,5,5,5.0,2,5,4.0,0
1,1,1,0.0,0.0,2,5,1,2,1,5.0,2,5,5.0,0
1,1,1,0.0,0.0,2,5,5,1,4,5.0,2,5,5.0,0
1,1,1,0.0,0.0,3,3,5,5,5,5.0,3,5,4.0,0
1,1,1,4.0,0.0,3,1,4,3,1,3.5396954922943435,3,1,3.5305437342478205,0
1,1,1,12.0,1.0,3,1,4,4,4,3.0,3,4,2.0,0
1,1,1,0.0,0.0,1,1,4,4,2,3.5396954922943435,1,1,3.5305437342478205,0
1,1,1,0.0,0.0,3,5,3,4,3,5.0,4,5,5.0,0
1,0,2,0.0,0.0,5,4,4,4,4,2.0,4,4,3.0,0
1,0,0,0.0,2.0,3,5,5,4,2,5.0,3,5,5.0,1
1,0,0,0.0,15.0,5,5,5,5,5,5.0,4,5,4.0,1
1,0,0,6.0,24.0,3,5,5,4,2,5.0,3,5,5.0,1
1,0,0,0.0,0.0,0,3,5,5,5,3.0,0,3,3.0,1
1,0,0,0.0,52.0,4,5,4,3,2,5.0,4,5,5.0,1
1,0,0,0.0,12.0,5,4,4,3,3,4.0,4,4,4.0,1
0,0,0,0.0,0.0,2,4,2,2,2,4.0,2,2,5.0,0
0,0,1,0.0,0.0,4,5,3,3,3,4.0,4,3,4.0,1
0,0,0,22.0,28.0,2,3,2,2,2,5.0,2,2,5.0,0
1,0,0,0.0,0.0,0,5,4,4,3,5.0,0,5,5.0,1
1,0,0,23.0,17.0,2,3,5,5,5,3.0,2,3,5.0,1
1,0,0,0.0,0.0,5,5,5,4,2,5.0,5,5,5.0,1
1,0,0,12.0,26.0,4,4,4,4,5,4.0,4,4,5.0,1
1,0,0,0.0,0.0,4,5,5,3,3,5.0,4,5,5.0,1
1,0,0,0.0,0.0,3,4,4,5,4,4.0,3,4,4.0,1
1,0,0,0.0,0.0,2,5,4,5,2,5.0,2,5,4.0,1
1,0,0,59.0,70.0,2,4,4,5,2,4.0,2,4,4.0,1
1,0,0,0.0,0.0,4,4,4,3,3,4.0,4,4,5.0,1
1,0,0,0.0,8.0,2,4,4,4,4,4.0,2,4,4.0,1
1,0,0,0.0,1.0,4,5,5,4,2,5.0,4,5,5.0,1
1,0,0,30.0,14.0,0,4,4,5,2,4.0,0,4,3.0,1
0,0,1,16.0,13.0,3,3,4,4,4,4.0,3,4,5.0,0
0,0,0,0.0,0.0,0,4,2,4,4,5.0,0,4,5.0,1
0,0,0,29.0,41.0,3,1,4,5,5,2.0,3,5,3.0,0
0,0,1,0.0,29.0,4,5,3,5,5,4.0,4,5,5.0,0
0,0,0,0.0,0.0,4,3,5,5,5,5.0,4,5,4.0,1
1,0,0,0.0,0.0,4,5,5,4,5,5.0,2,5,5.0,1
0,0,1,2.0,10.0,4,4,5,5,5,4.0,4,5,5.0,0
0,0,0,4.0,1.0,3,4,1,3,3,5.0,2,3,5.0,0
1,0,0,0.0,0.0,3,4,4,5,2,4.0,3,4,4.0,1
1,0,0,40.0,71.0,1,3,3,2,1,3.0,1,3,3.5305437342478205,0
1,0,0,0.0,0.0,2,4,4,3,5,4.0,2,4,5.0,1
1,0,0,0.0,0.0,1,5,4,4,2,5.0,1,5,4.0,1
1,0,0,0.0,0.0,0,5,5,3,4,5.0,0,5,5.0,1
1,0,0,1.0,0.0,1,4,5,4,4,4.0,1,4,5.0,1
1,0,0,19.0,34.0,1,4,5,5,5,4.0,1,4,5.0,1
1,0,0,0.0,0.0,3,4,4,3,2,4.0,3,4,5.0,1
1,0,1,151.0,186.0,5,4,2,2,2,3.0,2,1,4.0,0
1,0,0,0.0,8.0,4,2,4,4,3,2.0,3,2,3.0,0
1,0,0,0.0,3.0,1,3,4,5,5,3.0,1,3,5.0,1
0,0,1,0.0,0.0,0,5,5,5,5,5.0,0,5,4.0,1
1,0,0,12.0,8.0,5,3,3,3,4,3.0,1,3,3.5305437342478205,0
1,0,0,0.0,0.0,4,5,5,5,2,5.0,4,5,5.0,1
1,0,0,0.0,0.0,5,2,3,4,4,2.0,4,2,4.0,0
1,0,0,0.0,67.0,3,1,3,4,4,3.5396954922943435,3,1,3.0,0
1,0,0,68.0,59.0,3,1,4,3,3,3.5396954922943435,4,1,4.0,0
0,0,1,0.0,14.0,1,5,3,3,3,4.0,1,3,3.5305437342478205,0
1,0,0,7.0,24.0,2,2,3,1,3,2.0,3,2,3.0,0
1,0,1,0.0,0.0,5,3,5,5,5,4.0,5,5,3.5305437342478205,1
0,0,1,10.0,1.0,3,1,3,4,4,4.0,3,4,3.0,0
0,0,1,0.0,0.0,1,4,2,2,2,2.0,2,2,4.0,0
0,0,1,0.0,0.0,4,5,5,4,4,2.0,5,4,5.0,1
0,0,1,324.0,296.0,3,4,2,2,3,2.0,3,3,3.0,0
1,1,1,0.0,4.0,4,4,2,2,2,5.0,4,2,4.0,1
1,1,1,50.0,41.0,0,3,4,5,4,3.0,5,3,3.0,1
1,1,1,45.0,29.0,1,5,4,3,1,5.0,1,5,5.0,0
1,1,1,0.0,0.0,2,5,1,1,1,5.0,2,1,2.0,0
1,1,1,0.0,7.0,1,3,2,2,2,4.0,1,2,4.0,0
1,1,1,254.0,254.0,2,2,4,4,2,3.0,2,3,4.0,0
1,1,1,0.0,0.0,5,3,3,3,3,3.0,5,3,3.0,1
1,1,1,0.0,0.0,3,3,2,2,2,3.5396954922943435,3,2,3.5305437342478205,0
1,1,1,0.0,13.0,3,3,1,1,1,5.0,3,1,5.0,0
1,1,1,1.0,0.0,3,4,5,5,5,5.0,3,5,5.0,0
1,1,1,2.0,0.0,2,1,4,4,3,3.5396954922943435,2,1,3.5305437342478205,0
1,1,1,0.0,0.0,0,1,3,3,3,3.5396954922943435,2,1,3.5305437342478205,0
1,0,0,72.0,78.0,4,5,4,3,3,5.0,2,5,5.0,1
0,0,0,0.0,5.0,4,4,5,4,4,4.0,4,4,4.0,0
1,0,0,0.0,34.0,5,5,4,5,4,5.0,5,5,4.0,1
1,0,0,101.0,123.0,2,1,3,1,2,3.5396954922943435,1,1,3.5305437342478205,0
1,0,2,0.0,0.0,4,3,1,1,1,3.0,1,1,3.0,0
1,1,2,18.0,35.0,0,5,2,2,2,5.0,2,2,5.0,0
1,1,2,0.0,0.0,0,5,3,3,3,4.0,2,3,4.0,0
0,0,2,0.0,0.0,3,1,1,1,1,5.0,3,1,3.5305437342478205,0
1,0,0,0.0,11.0,4,4,5,5,3,4.0,4,4,4.0,1
1,0,0,27.0,18.0,5,4,5,3,3,4.0,5,4,4.0,1
0,0,1,27.0,36.0,0,4,5,5,5,5.0,0,5,5.0,1
1,0,0,0.0,0.0,1,4,4,3,5,4.0,1,4,4.0,1
1,0,0,0.0,0.0,3,4,4,4,2,4.0,3,4,4.0,1
1,0,0,0.0,0.0,1,4,5,5,4,4.0,1,4,4.0,1
1,0,0,0.0,0.0,1,4,4,5,3,4.0,3,4,4.0,1
1,0,0,0.0,0.0,1,5,5,4,4,5.0,1,5,5.0,1
0,0,0,96.0,95.0,4,5,4,5,5,4.0,4,5,5.0,1
1,0,0,0.0,27.0,4,5,5,3,2,5.0,4,5,5.0,1
1,0,0,45.0,51.0,3,4,3,1,1,4.0,4,4,4.0,0
1,0,0,60.0,145.0,3,5,1,1,1,4.0,1,4,2.0,0
0,0,0,0.0,0.0,5,4,2,2,2,5.0,5,2,4.0,1
1,0,0,104.0,122.0,2,4,5,3,3,4.0,2,4,4.0,1
0,0,1,1.0,2.0,4,3,2,2,2,3.0,4,2,4.0,0
1,0,0,32.0,40.0,5,4,4,3,2,4.0,4,4,4.0,0
1,0,0,0.0,15.0,3,2,4,3,1,2.0,2,2,2.0,0
0,0,0,11.0,25.0,3,3,2,2,2,3.0,3,2,3.0,0
0,0,0,0.0,8.0,2,1,4,3,3,3.0,2,3,3.0,0
1,0,0,0.0,0.0,4,5,3,5,1,5.0,4,5,4.0,1
1,0,0,183.0,192.0,5,4,4,4,4,3.0,5,4,2.0,1
1,0,1,0.0,21.0,1,3,2,2,2,3.0,2,2,3.0,0
1,0,0,38.0,29.0,2,1,4,2,3,3.5396954922943435,4,1,4.0,0
1,1,1,0.0,6.0,2,3,4,5,5,3.0,2,5,2.0,0
1,1,1,3.0,6.0,4,4,3,4,4,4.0,4,4,5.0,0
